Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,62,3310,18,2154,70.08,32.65,31.43,82.86,5
2023-01-02,1,71,3639,18,2333,125.46,41.31,63.43,156.89,0
2023-01-03,2,75,3729,18,2378,43.91,47.86,86.43,275.62,0
2023-01-04,3,71,3534,18,2323,54.8,40.65,33.11,70.42,5
2023-01-05,4,73,3668,18,2265,60.01,39.09,34.76,89.7,0
2023-01-06,5,75,3691,18,2391,48.49,41.41,47.3,188.36,0
2023-01-07,6,72,3546,18,2440,51.71,43.53,43.85,85.39,0
2023-01-08,7,73,3767,18,2579,64.78,43.81,39.27,76.06,1
2023-01-09,1,78,3846,19,2612,52.67,45.77,41.16,100.42,0
2023-01-10,2,79,3854,18,2613,57.99,63.32,83.76,383.84,0
2023-01-11,3,78,3882,18,2641,89.87,67.48,68.85,127.16,0
2023-01-12,4,80,3860,18,2628,59.21,52.5,55.87,99.52,0
2023-01-13,5,73,3504,18,2319,60.71,37.21,34.76,65.93,0
2023-01-14,6,75,3734,18,2478,72.18,61.44,79.52,150.43,0
2023-01-15,7,75,3701,18,2693,132.5,64.92,92.52,165.99,0
2023-01-16,1,79,3941,18,2669,156.29,87.37,105.03,160.5,0
2023-01-17,2,77,3777,18,2653,73.91,80.82,63.81,452.27,0
2023-01-18,3,73,3619,19,2481,29.85,45.13,31.46,49.8,0
2023-01-19,4,78,3864,18,2449,31.33,33.37,29.21,41.47,0
2023-01-20,5,77,3676,18,2522,42.47,42.82,32.39,65.15,0
2023-01-21,6,74,3605,18,2523,53.05,35.88,34.42,61.06,0
2023-01-22,7,73,3665,18,2508,37.94,39.38,37.93,81.1,0
2023-01-23,1,79,3943,18,2492,71.15,43.18,42.63,104.95,0
2023-01-24,2,78,3817,19,2637,77.09,41.67,40.75,86.36,0
2023-01-25,3,80,3942,18,2581,38.45,47.57,34.07,52.1,0
2023-01-26,4,75,3774,18,2403,83.06,40.3,50.49,97.79,0
2023-01-27,5,76,3702,18,2603,49.54,40.43,35.63,98.02,0
2023-01-28,6,70,3366,19,2646,38.57,31.65,24.76,48.09,14
2023-01-29,7,70,3473,18,2396,50.35,33.14,31.62,70.58,0
2023-01-30,1,72,3591,19,2380,68.91,42.48,39.47,99.92,0
2023-01-31,2,76,3862,19,2416,75.59,72.5,54.85,150.0,0
2023-02-01,3,79,3959,19,2754,92.33,101.52,59.3,194.48,2
2023-02-02,4,82,4025,19,2891,77.89,87.42,71.05,238.31,12
2023-02-03,5,89,4558,19,2831,256.32,197.22,132.96,415.17,15
2023-02-04,6,96,4428,19,3616,214.35,222.19,268.63,489.71,0
2023-02-05,7,79,3745,19,2898,161.85,118.22,121.63,328.18,0
2023-02-06,1,77,3818,19,2632,79.77,65.85,60.81,168.43,1
2023-02-07,2,79,3920,19,2727,45.78,44.48,37.96,198.75,0
2023-02-08,3,74,3669,19,2622,39.49,29.21,28.8,62.74,2
2023-02-09,4,79,3760,18,2619,46.42,34.29,31.26,49.67,0
2023-02-10,5,68,3372,19,2417,34.42,24.38,23.08,62.97,6
2023-02-11,6,67,3374,19,2422,54.12,28.53,27.87,76.5,0
2023-02-12,7,71,3506,18,2585,63.17,29.01,31.11,324.62,0
2023-02-13,1,71,3552,19,2435,60.16,36.87,30.28,89.03,0
2023-02-14,2,69,3450,19,2404,31.87,29.08,24.08,47.15,6
2023-02-15,3,69,3368,19,2451,30.1,30.25,27.61,61.09,0
2023-02-16,4,67,3323,19,2206,30.78,27.25,29.51,67.29,0
2023-02-17,5,70,3462,19,2146,27.13,35.0,33.04,66.46,0
2023-02-18,6,70,3419,19,2601,36.0,34.53,25.4,61.15,0
2023-02-19,7,69,3399,19,2543,21.92,24.64,17.12,24.31,7
2023-02-20,1,68,3378,19,2321,22.82,24.89,12.53,33.51,20
2023-02-21,2,74,3671,19,2296,31.73,27.51,24.44,40.8,0
2023-02-22,3,76,3774,19,2543,27.84,26.34,21.92,52.58,0
2023-02-23,4,79,3844,19,2552,37.61,35.14,43.48,102.5,0
2023-02-24,5,76,3856,19,2559,148.34,94.8,98.25,174.5,0
2023-02-25,6,83,3909,19,2956,182.81,172.89,111.75,223.35,0
2023-02-26,7,79,3727,19,2915,353.15,108.83,194.16,357.61,0
2023-02-27,1,77,3833,19,2707,154.97,106.55,114.67,195.24,0
2023-02-28,2,82,3938,19,2766,93.81,83.14,77.63,147.86,0
2023-03-01,3,78,3743,19,2726,60.23,47.1,50.4,313.4,0
2023-03-02,4,75,3612,19,2561,61.17,32.52,43.86,83.42,0
2023-03-03,5,72,3523,19,2558,51.72,43.61,36.02,82.76,0
2023-03-04,6,72,3444,19,2556,64.15,54.18,41.7,101.31,0
2023-03-05,7,66,3370,19,2456,28.55,35.4,23.62,46.65,11
2023-03-06,1,69,3554,19,2381,102.42,39.41,30.4,125.78,14
2023-03-07,2,71,3707,19,2433,93.24,54.52,45.29,116.18,3
2023-03-08,3,74,3642,19,2699,53.94,46.24,40.25,100.91,0
2023-03-09,4,70,3498,19,2573,44.18,33.53,25.32,62.44,11
2023-03-10,5,71,3459,19,2531,46.78,32.4,27.88,59.0,0
2023-03-11,6,70,3385,19,2435,56.34,36.23,34.17,78.2,0
2023-03-12,7,65,3291,20,2401,29.32,29.99,23.83,52.71,2
2023-03-13,1,74,3576,19,2349,26.56,37.78,27.9,75.26,0
2023-03-14,2,77,3702,20,2472,33.75,37.6,30.96,40.52,0
2023-03-15,3,75,3605,20,2597,58.9,36.16,37.9,129.26,0
2023-03-16,4,72,3485,8,2625,58.69,33.42,39.4,75.17,0
2023-03-17,5,69,3276,9,2413,45.74,29.93,31.21,74.32,0
2023-03-18,6,60,2976,20,2190,36.79,27.73,25.39,84.72,6
2023-03-19,7,65,3419,20,2345,46.04,31.69,18.85,95.94,1
2023-03-20,1,70,3513,8,2535,80.04,37.82,35.42,98.63,17
2023-03-21,2,67,3404,8,2432,91.57,28.87,27.41,237.3,0
2023-03-22,3,66,3233,8,2306,39.34,26.75,22.81,65.21,4
2023-03-23,4,67,3193,20,2146,24.75,27.12,23.93,40.04,0
2023-03-24,5,64,3092,20,2143,47.97,25.33,28.06,55.07,0
2023-03-25,6,69,3284,19,2283,24.49,31.29,26.4,61.91,0
2023-03-26,7,58,2942,20,2070,30.57,22.24,18.77,58.88,13
2023-03-27,1,65,3239,20,2179,24.65,27.3,21.57,64.91,14
2023-03-28,2,68,3278,20,2196,27.38,29.61,23.83,43.23,0
2023-03-29,3,64,3232,8,2329,49.22,27.6,25.65,60.22,0
2023-03-30,4,67,3360,20,2303,31.06,29.88,21.84,56.97,6
