Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Max_5_Minute_LMP.1,Neg_Intervals.1
2023-01-01,7,53,2640,18,1889,71.89,33.498749999999994,32.07416666666667,85.05,5,,,,,,85.05,5
2023-01-02,1,59,2933,18,2008,130.07,42.51708333333334,65.25833333333334,162.77,0,,,,,,162.77,0
2023-01-03,2,65,3129,18,2100,45.74,49.85041666666667,90.06583333333333,288.55,0,,,,,,288.55,0
2023-01-04,3,63,3049,18,2087,56.97,41.862500000000004,34.27875,73.0,5,,,,,,73.0,5
2023-01-05,4,64,3149,18,2035,63.02,41.23041666666666,36.32916666666667,93.58,0,,,,,,93.58,0
2023-01-06,5,67,3209,18,2173,50.47,43.01041666666668,49.23791666666667,196.24,0,,,,,,196.24,0
2023-01-07,6,61,2873,18,2192,52.77,44.26,44.69833333333333,87.19,0,,,,,,87.19,0
2023-01-08,7,62,3040,19,2274,43.95,44.861250000000005,40.12208333333333,78.81,1,,,,,,78.81,1
2023-01-09,1,66,3169,18,2276,75.93,47.00833333333333,42.35708333333334,103.73,0,,,,,,103.73,0
2023-01-10,2,66,3169,18,2234,60.6,66.10708333333334,87.26375,401.06,0,,,,,,401.06,0
2023-01-11,3,68,3286,18,2326,95.16,70.81291666666665,72.59833333333334,134.46,0,,,,,,134.46,0
2023-01-12,4,68,3190,18,2278,62.29,55.654583333333335,58.94666666666668,104.79,0,,,,,,104.79,0
2023-01-13,5,61,2870,18,2062,63.71,39.22666666666667,36.361250000000005,69.31,0,,,,,,69.31,0
2023-01-14,6,62,2962,18,2086,74.85000000000001,63.459166666666675,82.39583333333333,156.62,0,,,,,,156.62,0
2023-01-15,7,64,3065,18,2216,139.16,66.76541666666667,95.77958333333335,174.26,0,,,,,,174.26,0
2023-01-16,1,68,3311,18,2319,164.67000000000002,90.31541666666665,109.87541666666668,169.20000000000002,0,,,,,,169.20000000000002,0
2023-01-17,2,65,3080,18,2286,76.63,83.86583333333334,65.99624999999999,469.98,0,,,,,,469.98,0
2023-01-18,3,63,3005,18,2101,31.57,47.410833333333336,32.544999999999995,51.74,0,,,,,,51.74,0
2023-01-19,4,65,3151,18,2112,32.74,34.42958333333333,30.18416666666667,42.480000000000004,0,,,,,,42.480000000000004,0
2023-01-20,5,67,3201,18,2207,44.28,44.57500000000001,33.538333333333334,67.77,0,,,,,,67.77,0
2023-01-21,6,65,3066,18,2250,55.03,37.18083333333334,35.511666666666656,63.49,0,,,,,,63.49,0
2023-01-22,7,65,3093,18,2295,39.21,40.23166666666666,38.919166666666676,83.61,0,,,,,,83.61,0
2023-01-23,1,70,3342,18,2252,73.75,44.15,43.90916666666667,108.58,0,,,,,,108.58,0
2023-01-24,2,69,3269,18,2341,71.86,43.01,42.19291666666667,91.42,0,,,,,,91.42,0
2023-01-25,3,68,3251,18,2299,40.300000000000004,49.349583333333335,35.59875,54.0,0,,,,,,54.0,0
2023-01-26,4,65,3137,18,2153,88.11,42.65416666666667,52.81583333333333,101.31,0,,,,,,101.31,0
2023-01-27,5,65,3065,18,2247,52.26,42.32708333333334,37.34375,103.81,0,,,,,,103.81,0
2023-01-28,6,60,2786,19,2252,40.36,33.31208333333333,25.816666666666666,50.27,14,,,,,,50.27,14
2023-01-29,7,59,2862,18,2131,52.68,34.57458333333334,32.90666666666667,73.82000000000001,0,,,,,,73.82000000000001,0
2023-01-30,1,62,3024,18,2057,76.49,44.185833333333335,41.03041666666667,104.88,0,,,,,,104.88,0
2023-01-31,2,66,3222,18,2094,79.96000000000001,74.69583333333334,56.60958333333334,154.86,0,,,,,,154.86,0
2023-02-01,3,69,3308,18,2395,99.06,105.2675,61.539583333333326,202.67000000000002,2,,,,,,202.67000000000002,2
2023-02-02,4,69,3258,18,2440,91.25,90.68666666666667,73.7925,248.07,12,,,,,,248.07,12
2023-02-03,5,76,3842,19,2417,260.58,199.11041666666665,134.0329166666667,417.74,15,,,,,,417.74,15
2023-02-04,6,85,3868,18,3177,376.36,224.74,275.11875,509.54,0,,,,,,509.54,0
2023-02-05,7,69,3107,19,2497,165.33,119.34916666666668,123.19375000000001,331.31,0,,,,,,331.31,0
2023-02-06,1,66,3140,18,2291,77.21000000000001,66.2675,62.04291666666668,172.45000000000002,1,,,,,,172.45000000000002,1
2023-02-07,2,68,3298,18,2338,53.27,45.66416666666667,38.98625,206.32,0,,,,,,206.32,0
2023-02-08,3,65,3059,19,2286,40.660000000000004,29.907916666666665,29.45041666666667,64.92,2,,,,,,64.92,2
2023-02-09,4,65,3086,18,2214,48.29,35.24875,32.100833333333334,51.1,0,,,,,,51.1,0
2023-02-10,5,60,2841,18,2092,38.81,25.044583333333332,23.704166666666666,64.17,6,,,,,,64.17,6
2023-02-11,6,59,2838,19,2126,56.49,29.389583333333334,28.71875000000001,79.69,0,,,,,,79.69,0
2023-02-12,7,59,2874,19,2206,46.47,29.848750000000006,32.020833333333336,331.56,0,,,,,,331.56,0
2023-02-13,1,64,3058,19,2117,63.2,38.32666666666666,31.46208333333333,93.02,0,,,,,,93.02,0
2023-02-14,2,62,2932,19,2147,33.59,30.389583333333338,25.114166666666666,49.53,6,,,,,,49.53,6
2023-02-15,3,62,2913,9,2162,54.21,31.303750000000004,28.633749999999996,63.85,0,,,,,,63.85,0
2023-02-16,4,59,2824,18,1973,45.14,28.029583333333335,30.390416666666667,69.08,0,,,,,,69.08,0
2023-02-17,5,60,2840,18,1918,29.72,36.25208333333333,34.186249999999994,69.32000000000001,0,,,,,,69.32000000000001,0
2023-02-18,6,60,2825,19,2292,37.22,35.514583333333334,26.074166666666667,63.120000000000005,0,,,,,,63.120000000000005,0
2023-02-19,7,58,2764,19,2203,22.18,25.13958333333333,17.296666666666667,24.42,7,,,,,,24.42,7
2023-02-20,1,57,2739,19,2015,22.92,25.085000000000004,12.52625,33.35,20,,,,,,33.35,20
2023-02-21,2,63,3032,18,1984,27.830000000000002,27.93875,24.81208333333333,41.62,0,,,,,,41.62,0
2023-02-22,3,63,2996,18,2157,29.03,26.737500000000008,22.036250000000006,52.96,0,,,,,,52.96,0
2023-02-23,4,69,3283,18,2222,38.58,36.29750000000001,44.63041666666667,108.83,0,,,,,,108.83,0
2023-02-24,5,69,3269,19,2352,156.78,103.65416666666668,102.85541666666666,184.03,0,,,,,,184.03,0
2023-02-25,6,72,3341,19,2623,193.29,195.92583333333334,117.85875,236.12,0,,,,,,236.12,0
