Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,27,1394,18,889,71.51,33.35,31.8,84.62,5
2023-01-02,1,29,1510,18,949,129.93,42.46,64.99,162.53,0
2023-01-03,2,32,1607,18,1009,45.39,49.85,89.93,288.74,0
2023-01-04,3,31,1533,18,1010,56.73,41.86,34.12,72.68,5
2023-01-05,4,32,1582,18,984,63.21,41.45,36.36,93.72,0
2023-01-06,5,32,1575,18,1045,50.75,43.46,49.5,197.8,0
2023-01-07,6,30,1493,18,1021,52.69,44.27,44.67,87.11,0
2023-01-08,7,32,1607,18,1110,67.34,44.96,40.22,79.17,1
2023-01-09,1,34,1650,18,1146,75.94,47.14,42.34,103.68,0
2023-01-10,2,33,1670,18,1101,60.01,65.72,86.61,396.85,0
2023-01-11,3,35,1702,18,1203,94.82,70.65,72.33,134.48,0
2023-01-12,4,35,1652,18,1152,62.28,55.76,59.02,105.08,0
2023-01-13,5,31,1487,18,1036,63.7,39.26,36.32,69.32,0
2023-01-14,6,31,1532,18,1019,74.43,63.15,82.05,155.67,0
2023-01-15,7,31,1574,18,1066,137.94,66.5,95.03,172.61,0
2023-01-16,1,34,1672,18,1080,163.45,90.04,109.24,168.04,0
2023-01-17,2,32,1546,18,1087,76.2,83.78,65.61,466.54,0
2023-01-18,3,31,1529,18,1013,31.31,47.59,32.37,51.43,0
2023-01-19,4,32,1557,18,1033,32.77,34.51,30.14,42.38,0
2023-01-20,5,33,1594,18,1053,44.42,44.86,33.6,67.77,0
2023-01-21,6,31,1543,18,1071,55.19,37.39,35.55,63.64,0
2023-01-22,7,32,1573,18,1110,39.48,40.65,39.23,84.18,0
2023-01-23,1,32,1532,18,1050,73.64,44.4,44.01,108.38,0
2023-01-24,2,32,1596,18,1037,71.26,42.95,41.97,90.73,0
2023-01-25,3,33,1650,18,1087,40.18,49.52,35.53,53.96,0
2023-01-26,4,32,1582,18,1064,86.89,42.6,52.28,100.43,0
2023-01-27,5,32,1539,18,1105,51.84,42.16,37.1,103.52,0
2023-01-28,6,30,1438,18,1080,38.92,33.19,25.58,49.64,14
2023-01-29,7,30,1485,18,1022,52.15,34.48,32.7,73.07,0
2023-01-30,1,31,1551,18,990,75.97,44.14,40.85,104.18,0
2023-01-31,2,33,1675,19,1047,78.0,74.46,56.27,153.18,0
2023-02-01,3,35,1685,19,1184,96.55,105.25,61.59,201.99,2
2023-02-02,4,35,1670,19,1224,80.9,90.44,73.69,248.12,12
2023-02-03,5,37,1888,19,1168,259.17,198.95,133.65,418.57,15
2023-02-04,6,40,1871,18,1430,377.33,224.56,275.6,510.29,0
2023-02-05,7,34,1584,18,1169,146.76,118.93,122.91,328.38,0
2023-02-06,1,33,1603,19,1093,81.12,66.48,62.3,173.4,1
2023-02-07,2,33,1624,18,1152,53.76,46.27,39.3,208.43,0
2023-02-08,3,32,1555,19,1102,40.62,30.08,29.53,65.37,2
2023-02-09,4,32,1562,18,1089,48.56,35.62,32.31,51.63,0
2023-02-10,5,30,1445,19,1028,35.94,25.16,23.74,64.66,6
2023-02-11,6,29,1449,19,1012,56.55,29.35,28.65,79.73,0
2023-02-12,7,29,1465,18,1062,65.92,29.93,31.97,330.22,0
2023-02-13,1,31,1524,19,1029,63.1,38.43,31.41,92.81,0
2023-02-14,2,31,1492,19,1029,33.51,30.45,25.05,49.35,6
2023-02-15,3,31,1477,19,1056,30.98,31.24,28.5,63.54,0
2023-02-16,4,30,1438,18,987,44.71,27.93,30.17,68.45,0
2023-02-17,5,31,1500,19,952,27.83,36.1,33.98,69.01,0
2023-02-18,6,30,1456,19,1124,36.95,35.43,25.98,62.84,0
2023-02-19,7,29,1451,19,1056,22.02,25.17,17.23,24.55,7
2023-02-20,1,30,1472,19,984,22.93,25.25,12.56,33.32,20
2023-02-21,2,32,1565,18,1008,27.92,28.09,24.87,41.91,0
2023-02-22,3,32,1527,19,1054,28.01,26.88,22.01,52.98,0
2023-02-23,4,34,1661,19,1093,39.4,36.46,44.95,109.09,0
2023-02-24,5,34,1643,19,1126,154.94,101.69,102.37,182.05,0
2023-02-25,6,35,1613,19,1226,191.23,191.53,117.01,233.54,0
2023-02-26,7,34,1602,19,1207,373.38,115.75,204.08,377.96,0
2023-02-27,1,34,1592,19,1170,162.37,111.35,120.53,205.26,0
2023-02-28,2,34,1591,19,1136,97.71,89.31,80.85,154.41,0
2023-03-01,3,32,1533,19,1093,63.06,49.56,52.84,327.9,0
2023-03-02,4,32,1518,19,1057,64.29,36.02,46.23,87.22,0
2023-03-03,5,30,1444,19,1075,53.99,45.28,37.25,86.44,0
