Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,13,705,18,451,69.34,31.756666666666664,30.96291666666666,82.01,5
2023-01-02,1,14,733,18,484,124.31,41.04416666666667,62.61333333333334,155.37,0
2023-01-03,2,15,750,18,514,43.58,47.46875,86.30833333333335,276.53000000000003,0
2023-01-04,3,15,742,18,493,54.730000000000004,41.06708333333333,33.04416666666666,70.26,5
2023-01-05,4,15,750,18,492,60.910000000000004,40.020833333333336,35.23791666666667,90.39,0
2023-01-06,5,15,745,18,509,48.7,42.47708333333333,47.792083333333345,191.27,0
2023-01-07,6,15,772,18,515,51.15,43.290416666666665,43.36000000000001,84.64,0
2023-01-08,7,15,788,18,435,64.78,43.77791666666667,39.01708333333333,76.17,1
2023-01-09,1,17,810,18,599,73.53,45.94375,41.109583333333326,100.5,0
2023-01-10,2,16,815,18,529,58.03,62.967083333333335,83.89625000000001,382.33,0
2023-01-11,3,16,810,8,474,112.58,68.55541666666666,69.52250000000001,128.6,0
2023-01-12,4,17,774,18,573,59.69,54.69916666666668,56.47208333333333,100.32000000000001,0
2023-01-13,5,16,784,18,517,61.45,38.966666666666676,35.160000000000004,66.81,0
2023-01-14,6,17,838,18,585,72.22,62.79291666666666,80.03833333333334,151.23,0
2023-01-15,7,16,825,18,556,132.56,66.55458333333334,92.49583333333334,166.0,0
2023-01-16,1,18,826,18,614,157.19,89.88208333333334,106.24791666666665,162.84,0
2023-01-17,2,15,754,18,455,74.32000000000001,84.07791666666667,64.21749999999999,455.17,0
2023-01-18,3,16,752,18,521,30.400000000000002,52.17458333333334,31.787083333333328,50.58,0
2023-01-19,4,16,778,18,540,31.720000000000002,34.942083333333336,29.634583333333335,42.52,0
2023-01-20,5,16,765,18,540,43.01,44.9025,32.83083333333333,65.99,0
2023-01-21,6,16,797,18,552,53.69,37.28458333333334,34.88875000000001,61.95,0
2023-01-22,7,16,776,18,573,38.04,40.660833333333336,38.191250000000004,81.3,0
2023-01-23,1,17,789,18,545,71.34,44.423750000000005,42.95874999999999,105.09,0
2023-01-24,2,17,787,18,558,68.42,42.559583333333336,40.91416666666667,86.92,0
2023-01-25,3,17,813,18,579,38.95,49.38,34.699999999999996,52.64,0
2023-01-26,4,16,795,18,540,83.5,41.92458333333333,50.96541666666667,99.16,0
2023-01-27,5,17,794,18,595,49.870000000000005,41.877916666666664,36.090833333333336,100.09,0
2023-01-28,6,16,758,18,579,37.76,32.97291666666667,24.860000000000003,48.07,14
2023-01-29,7,16,756,18,549,50.550000000000004,34.32458333333333,31.907499999999995,70.79,0
2023-01-30,1,17,803,18,539,74.31,44.02708333333333,40.27166666666667,101.9,0
2023-01-31,2,17,830,18,596,77.11,74.05083333333333,55.00291666666667,149.67000000000002,0
2023-02-01,3,18,840,18,667,95.88,104.21666666666668,60.07874999999999,195.29,2
2023-02-02,4,18,817,8,644,152.15,89.39625,71.66541666666667,240.37,12
2023-02-03,5,18,910,18,621,223.27,201.38958333333335,134.8508333333333,435.93,15
2023-02-04,6,18,875,18,623,387.09000000000003,227.0266666666666,280.28375,512.94,0
2023-02-05,7,16,793,18,598,143.13,118.27916666666668,120.82958333333336,323.73,0
2023-02-06,1,16,805,19,522,79.62,65.63333333333333,61.08208333333334,168.88,1
2023-02-07,2,16,803,18,490,52.22,45.50666666666667,38.57166666666666,203.69,0
2023-02-08,3,16,764,19,499,39.47,29.482916666666664,28.951666666666664,63.67,2
2023-02-09,4,16,780,18,564,45.96,34.76,31.247916666666665,50.56,0
2023-02-10,5,15,747,18,536,37.19,24.595,22.84833333333334,63.4,6
2023-02-11,6,14,760,19,344,54.43,28.811666666666667,27.95,76.76,0
2023-02-12,7,13,733,18,348,63.59,29.40125,31.018749999999997,321.6,0
2023-02-13,1,14,740,19,335,60.550000000000004,37.065416666666664,30.347916666666666,89.47,0
