Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,36,1895,18,1258,71.0,33.17458333333333,31.787499999999998,83.94,5
2023-01-02,1,41,2094,18,1379,127.76,42.00208333333333,64.39833333333333,159.78,0
2023-01-03,2,46,2252,18,1478,44.96,49.159166666666664,88.65500000000002,283.54,0
2023-01-04,3,44,2161,18,1480,55.95,41.492916666666666,33.82083333333333,71.82000000000001,5
2023-01-05,4,45,2205,18,1439,61.95,40.606249999999996,35.794999999999995,92.2,0
2023-01-06,5,46,2230,18,1509,49.870000000000005,42.72958333333333,48.75625,194.3,0
2023-01-07,6,43,2059,18,1529,52.44,44.25666666666667,44.526666666666664,86.76,0
2023-01-08,7,43,2171,18,1559,66.25,44.752500000000005,39.92416666666667,77.95,1
2023-01-09,1,46,2297,18,1593,75.02,46.782500000000006,42.03333333333333,102.57000000000001,0
2023-01-10,2,46,2275,18,1574,59.480000000000004,65.16,86.04625,395.78000000000003,0
2023-01-11,3,47,2317,18,1663,92.85000000000001,69.79291666666667,71.17708333333333,131.31,0
2023-01-12,4,49,2316,18,1624,61.0,54.790416666666665,57.787499999999994,102.54,0
2023-01-13,5,44,2070,18,1505,62.480000000000004,38.6925,35.81,67.97,0
2023-01-14,6,44,2154,18,1513,73.56,62.807916666666664,81.21374999999999,153.75,0
2023-01-15,7,44,2165,18,1578,136.15,66.22625000000001,94.4975,170.44,0
2023-01-16,1,48,2337,18,1586,161.18,89.55041666666666,108.26833333333336,165.96,0
2023-01-17,2,45,2211,18,1599,75.37,82.86874999999999,65.21875,464.47,0
2023-01-18,3,44,2159,18,1503,31.060000000000002,46.756249999999994,32.185833333333335,51.13,0
2023-01-19,4,46,2259,18,1505,32.3,34.31875,29.961249999999996,42.300000000000004,0
2023-01-20,5,47,2224,18,1562,43.76,44.32166666666666,33.31625,67.14,0
2023-01-21,6,45,2143,18,1550,54.620000000000005,36.96625,35.33291666666667,63.03,0
2023-01-22,7,44,2179,18,1543,38.86,40.22083333333334,38.75083333333334,83.05,0
2023-01-23,1,48,2304,18,1531,73.02,44.18749999999999,43.69333333333333,107.63,0
2023-01-24,2,48,2301,18,1609,70.35000000000001,42.75833333333333,41.810416666666676,89.38,0
2023-01-25,3,48,2329,18,1612,39.88,49.083333333333336,35.32458333333333,53.51,0
2023-01-26,4,47,2253,18,1563,86.03,42.21791666666667,52.12375,100.98,0
2023-01-27,5,45,2177,18,1613,51.14,41.84625,36.748333333333335,101.8,0
2023-01-28,6,41,1977,19,1565,39.730000000000004,32.92166666666667,25.4575,49.49,14
2023-01-29,7,42,2046,18,1494,51.74,34.139583333333334,32.42541666666667,72.51,0
2023-01-30,1,43,2137,19,1440,70.96000000000001,43.625416666666666,40.442083333333336,102.65,0
2023-01-31,2,46,2288,19,1494,77.45,74.28791666666666,56.087500000000006,153.20000000000002,0
2023-02-01,3,48,2346,19,1703,95.15,104.63791666666668,60.95791666666667,200.1,2
2023-02-02,4,48,2307,19,1744,80.3,90.09625000000001,73.13416666666667,245.74,12
2023-02-03,5,53,2690,19,1702,259.85,200.25333333333333,134.29708333333335,421.1,15
2023-02-04,6,57,2628,18,2119,378.5,226.51,274.57875000000007,505.02000000000004,0
2023-02-05,7,46,2168,19,1679,164.31,119.85874999999999,123.14791666666667,331.81,0
2023-02-06,1,46,2245,19,1558,80.95,66.40166666666666,61.81458333333333,171.31,1
2023-02-07,2,47,2298,19,1666,46.54,45.570000000000014,38.82041666666667,204.5,0
2023-02-08,3,45,2187,19,1597,40.35,29.841250000000002,29.379166666666666,64.49,2
2023-02-09,4,46,2207,18,1590,47.81,35.16833333333334,31.980416666666667,50.89,0
2023-02-10,5,42,2009,19,1499,35.410000000000004,24.897499999999997,23.52875,64.2,6
2023-02-11,6,40,1958,19,1474,55.46,29.1125,28.391666666666666,78.28,0
2023-02-12,7,41,2002,18,1534,64.75,29.587916666666676,31.667083333333338,329.64,0
2023-02-13,1,43,2135,19,1457,61.940000000000005,37.81916666666666,31.02916666666667,91.49,0
