Date\State,ME,NH,VT,MA,CT,RI,total,,,,,,,,,
1/1/23,28,27,13,121,62,18,269,,,,,,,,,
1/2/23,30,29,14,136,71,20,300,,,,,,,,,
1/3/23,33,32,15,150,75,21,326,,,,,,,,,
1/4/23,32,31,15,144,71,20,313,,,,,,,,,
1/5/23,34,32,15,147,73,21,322,,,,,,,,,
1/6/23,34,32,15,152,75,21,329,,,,,,,,,
1/7/23,32,30,15,141,72,20,310,,,,,,,,,
1/8/23,33,32,15,142,73,20,315,,,,,,,,,
1/9/23,34,34,17,152,78,22,337,,,,,,,,,
1/10/23,34,33,16,151,79,22,335,,,,,,,,,
1/11/23,36,35,16,155,78,22,342,,,,,,,,,
1/12/23,36,35,17,157,80,22,347,,,,,,,,,
1/13/23,32,31,16,141,73,20,313,,,,,,,,,
1/14/23,33,31,17,143,75,20,319,,,,,,,,,
1/15/23,34,31,16,147,75,21,324,,,,,,,,,
1/16/23,35,34,18,157,79,22,345,,,,,,,,,
1/17/23,33,32,15,148,77,21,326,,,,,,,,,
1/18/23,33,31,16,143,73,20,316,,,,,,,,,
1/19/23,33,32,16,150,78,21,330,,,,,,,,,
1/20/23,35,33,16,153,77,21,335,,,,,,,,,
1/21/23,34,31,16,148,74,21,324,,,,,,,,,
1/22/23,36,32,16,147,73,20,324,,,,,,,,,
1/23/23,35,32,17,158,79,22,343,,,,,,,,,
1/24/23,34,32,17,157,78,22,340,,,,,,,,,
1/25/23,35,33,17,156,80,22,343,,,,,,,,,
1/26/23,34,32,16,149,75,21,327,,,,,,,,,
1/27/23,34,32,17,147,76,20,326,,,,,,,,,
1/28/23,33,30,16,136,70,19,304,,,,,,,,,
1/29/23,33,30,16,136,70,19,304,,,,,,,,,
1/30/23,34,31,17,141,72,20,315,,,,,,,,,
1/31/23,35,33,17,151,76,21,333,,,,,,,,,
2/1/23,37,35,18,157,79,22,348,,,,,,,,,
2/2/23,37,35,18,157,82,22,351,,,,,,,,,
2/3/23,39,37,18,172,89,24,379,,,,,,,,,
2/4/23,42,40,18,191,96,26,413,,,,,,,,,
2/5/23,37,34,16,154,79,22,342,,,,,,,,,
2/6/23,35,33,16,151,77,21,333,,,,,,,,,
2/7/23,35,33,16,154,79,21,338,,,,,,,,,
2/8/23,33,32,16,147,74,21,323,,,,,,,,,
2/9/23,33,32,16,149,79,21,330,,,,,,,,,
2/10/23,31,30,15,135,68,19,298,,,,,,,,,
2/11/23,31,29,14,132,67,19,292,,,,,,,,,
2/12/23,31,29,13,135,71,19,298,,,,,,,,,
2/13/23,33,31,14,144,71,20,313,,,,,,,,,
2/14/23,32,31,13,139,69,20,304,,,,,,,,,
2/15/23,32,31,14,140,69,20,306,,,,,,,,,
2/16/23,30,30,14,133,67,19,293,,,,,,,,,
2/17/23,32,31,16,137,70,19,305,,,,,,,,,
2/18/23,32,30,14,136,70,19,301,,,,,,,,,
