Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,28,1433,18,955,71.08,33.20583333333334,31.412916666666664,84.2,5
2023-01-02,1,30,1559,18,1015,131.41,42.57958333333333,65.15666666666668,164.1,0
2023-01-03,2,33,1582,18,1072,45.07,49.855,90.12791666666665,289.26,0
2023-01-04,3,32,1553,18,1079,56.93,41.68833333333333,34.10666666666666,72.88,5
2023-01-05,4,34,1672,18,1090,64.03,42.035833333333336,36.52791666666667,94.36,0
2023-01-06,5,34,1634,18,1148,51.42,43.72624999999999,49.91166666666667,200.47,0
2023-01-07,6,32,1540,18,1135,52.6,44.17499999999999,44.65625000000001,87.18,0
2023-01-08,7,33,1671,18,1181,68.08,44.662083333333335,40.052083333333336,80.51,1
2023-01-09,1,34,1649,18,1188,75.84,47.21583333333333,42.14083333333334,103.36,0
2023-01-10,2,34,1668,18,1163,58.17,65.15,85.17958333333333,396.6,0
2023-01-11,3,36,1719,18,1244,95.18,70.34916666666668,72.35375,135.6,0
2023-01-12,4,36,1706,18,1226,62.620000000000005,56.03708333333335,59.839166666666664,106.89,0
2023-01-13,5,32,1498,18,1113,63.43,38.62125,35.44708333333333,69.04,0
2023-01-14,6,33,1588,18,1100,73.42,60.84166666666667,80.85833333333335,153.22,0
2023-01-15,7,34,1680,18,1164,136.22,64.69666666666666,92.12083333333334,170.52,0
2023-01-16,1,35,1699,18,1195,161.41,87.35374999999999,105.96791666666668,166.11,0
2023-01-17,2,33,1594,18,1157,76.06,83.19583333333333,65.34541666666667,464.94,0
2023-01-18,3,33,1585,18,1121,31.02,47.345,32.00083333333333,51.24,0
2023-01-19,4,33,1598,18,1105,32.5,33.3225,29.48,40.86,0
2023-01-20,5,35,1670,18,1175,43.77,44.184583333333336,33.05458333333333,66.46000000000001,0
2023-01-21,6,34,1643,18,1183,54.730000000000004,37.00791666666668,34.99958333333333,63.13,0
2023-01-22,7,36,1688,18,1249,39.49,40.25791666666667,39.12999999999999,83.92,0
2023-01-23,1,35,1686,18,1174,72.07000000000001,43.387499999999996,43.029583333333335,106.17,0
2023-01-24,2,34,1649,18,1163,68.81,41.980000000000004,40.642083333333325,87.9,0
2023-01-25,3,35,1696,18,1186,39.660000000000004,48.48541666666667,34.913333333333334,53.59,0
2023-01-26,4,34,1624,18,1168,85.72,41.46333333333334,50.37166666666667,97.95,0
2023-01-27,5,34,1596,18,1203,52.04,41.52916666666666,36.58208333333334,100.71000000000001,0
2023-01-28,6,33,1532,18,1206,38.26,32.66375,25.12708333333333,48.77,14
2023-01-29,7,33,1599,18,1152,50.46,34.24499999999999,32.09541666666667,69.94,0
2023-01-30,1,34,1651,18,1102,76.31,43.64416666666667,40.56166666666667,104.61,0
2023-01-31,2,35,1718,19,1183,76.05,72.56583333333334,55.22708333333333,150.67000000000002,0
2023-02-01,3,37,1773,18,1316,98.39,104.04458333333334,61.00958333333333,199.52,2
2023-02-02,4,37,1700,8,1297,156.33,89.06625000000001,70.42250000000001,246.17000000000002,12
2023-02-03,5,39,1936,19,1212,249.20000000000002,193.55625,127.45166666666667,404.1,15
2023-02-04,6,42,1950,18,1529,371.74,219.53500000000005,271.24916666666667,510.02000000000004,0
2023-02-05,7,37,1713,18,1287,146.45000000000002,117.20416666666667,122.40458333333335,326.90000000000003,0
2023-02-06,1,35,1661,18,1214,74.91,64.455,61.420416666666675,172.66,1
2023-02-07,2,35,1686,18,1249,53.38,45.78625000000002,38.722500000000004,206.16,0
2023-02-08,3,33,1584,19,1187,39.67,29.603333333333335,28.87166666666667,65.24,4
2023-02-09,4,33,1590,18,1167,48.81,35.619166666666665,32.13458333333334,51.36,0
2023-02-10,5,31,1472,18,1100,38.15,24.65041666666667,23.319583333333338,64.21000000000001,6
2023-02-11,6,31,1510,18,1087,56.81,28.79791666666667,28.301666666666666,79.66,0
2023-02-12,7,31,1541,18,1155,65.85,29.692083333333333,31.61,320.07,0
2023-02-13,1,33,1566,18,1128,41.01,38.4325,31.233333333333334,91.8,0
2023-02-14,2,32,1526,19,1119,33.29,30.303750000000008,24.987916666666667,48.83,6
2023-02-15,3,32,1512,18,1121,27.490000000000002,30.558333333333334,28.033749999999998,62.89,0
2023-02-16,4,30,1434,18,1058,43.86,27.14708333333333,29.149999999999995,64.49,0
2023-02-17,5,32,1539,18,997,29.26,35.5025,33.84166666666667,69.04,0
2023-02-18,6,32,1534,19,1184,36.9,34.83041666666667,25.814583333333335,62.910000000000004,0
2023-02-19,7,31,1501,18,1103,21.830000000000002,25.472916666666663,16.932083333333335,24.42,7
2023-02-20,1,31,1484,19,1042,22.26,24.923750000000002,12.164166666666668,32.05,20
2023-02-21,2,32,1551,19,1096,32.54,27.898333333333337,24.577083333333334,41.550000000000004,0
2023-02-22,3,31,1537,19,1110,27.55,26.51833333333333,21.499166666666667,52.01,0
2023-02-23,4,36,1738,18,1167,39.550000000000004,35.95083333333333,45.34625,110.42,0
2023-02-24,5,36,1674,19,1259,154.35,100.94583333333333,102.06416666666667,181.08,0
2023-02-25,6,37,1702,18,1334,157.17000000000002,193.2825,117.04250000000002,234.12,0
2023-02-26,7,38,1766,19,1377,382.14,117.85916666666668,207.2770833333333,386.7,0
2023-02-27,1,37,1715,8,1323,169.48,112.65541666666667,122.13458333333335,208.52,0
2023-02-28,2,36,1720,18,1255,84.88,90.11791666666666,80.70333333333333,156.18,0
2023-03-01,3,34,1595,8,1209,85.10000000000001,49.599583333333335,53.03791666666667,326.93,0
2023-03-02,4,34,1592,19,1137,64.71000000000001,36.387083333333344,46.48,86.99,0
2023-03-03,5,31,1477,19,1146,54.0,44.84333333333334,36.82166666666667,86.44,0
2023-03-04,6,32,1547,19,1102,68.69,57.217916666666675,43.94375,106.19,0
2023-03-05,7,31,1521,19,1121,27.88,36.38166666666667,23.51833333333333,45.480000000000004,11
2023-03-06,1,31,1539,19,1103,100.53,34.895833333333336,24.932916666666667,123.60000000000001,30
2023-03-07,2,32,1558,19,1106,95.53,54.562916666666666,45.31666666666666,118.68,4
2023-03-08,3,31,1495,19,1098,54.63,46.04708333333334,39.94958333333333,101.72,0
2023-03-09,4,31,1516,19,1078,46.59,34.70083333333333,25.149999999999995,65.94,11
2023-03-10,5,30,1418,19,1089,49.33,33.194583333333334,28.59041666666667,60.84,0
2023-03-11,6,30,1415,19,1073,58.5,37.97291666666667,35.24333333333333,81.48,0
2023-03-12,7,29,1433,20,1083,30.47,31.257499999999997,24.292916666666667,54.64,2
2023-03-13,1,31,1472,19,1064,27.16,39.10083333333333,28.405833333333334,78.02,0
2023-03-14,2,32,1567,18,1040,34.45,36.742916666666666,30.077916666666667,38.81,0
2023-03-15,3,31,1483,20,1017,58.160000000000004,34.632083333333334,37.15,128.96,0
2023-03-16,4,30,1414,8,1073,58.78,33.205000000000005,39.375,75.63,0
2023-03-17,5,30,1411,9,1057,47.99,30.302916666666665,31.607083333333332,78.27,0
2023-03-18,6,28,1307,20,1008,37.6,28.247916666666665,25.812083333333334,87.81,6
2023-03-19,7,30,1516,20,1024,44.49,30.97916666666666,18.183333333333334,93.06,2
2023-03-20,1,31,1499,8,1135,80.92,37.270833333333336,35.14458333333334,99.51,17
2023-03-21,2,30,1464,8,1072,96.29,29.614583333333332,27.846666666666668,249.67000000000002,0
2023-03-22,3,29,1403,8,1014,41.29,27.63291666666667,23.196666666666662,68.31,4
2023-03-23,4,31,1443,11,1007,23.5,27.803333333333338,24.49291666666667,42.07,0
2023-03-24,5,29,1370,8,1023,47.63,24.81125,28.47458333333334,56.58,0
2023-03-25,6,30,1407,18,1038,29.53,30.36125,25.982499999999998,60.050000000000004,0
2023-03-26,7,29,1385,20,1046,30.84,22.25708333333333,18.896666666666665,59.160000000000004,13
2023-03-27,1,28,1373,8,1005,44.480000000000004,27.702916666666667,21.743750000000002,65.29,14
2023-03-28,2,30,1406,20,973,27.5,30.032083333333333,24.057500000000005,43.53,0
2023-03-29,3,29,1424,8,1054,52.36,30.610000000000003,26.517083333333343,63.58,0
2023-03-30,4,30,1511,20,1013,31.32,30.125416666666666,21.690416666666664,57.64,6
2023-03-31,5,30,1433,8,1104,30.490000000000002,31.982499999999998,26.60625,62.56,2
2023-04-01,6,29,1417,11,1006,80.33,28.517916666666665,41.24458333333333,212.42000000000002,0
2023-04-02,7,27,1403,20,969,22.77,28.818749999999998,19.158749999999998,55.64,0
2023-04-03,1,29,1392,8,1048,41.14,30.850000000000005,24.61916666666667,61.300000000000004,0
2023-04-04,2,29,1355,19,993,41.81,26.563333333333333,25.783333333333335,44.730000000000004,0
2023-04-05,3,31,1492,19,961,50.870000000000005,30.51125,28.315,59.45,0
2023-04-06,4,30,1408,9,1038,41.93,28.174583333333334,31.995000000000005,83.22,0
2023-04-07,5,27,1329,20,960,55.02,25.242499999999996,27.263333333333332,79.04,0
2023-04-08,6,28,1308,20,1033,24.330000000000002,26.049166666666668,23.27666666666667,45.33,0
