Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,18,902,18,611,70.91,33.07083333333333,31.765,83.89,5
2023-01-02,1,20,999,18,650,127.14,41.819166666666675,64.1775,159.09,0
2023-01-03,2,21,1016,18,669,44.72,48.77333333333333,87.95291666666667,280.66,0
2023-01-04,3,20,1003,18,655,55.59,41.03666666666667,33.61916666666667,71.3,5
2023-01-05,4,21,1021,18,652,61.68,40.4575,35.717916666666675,91.82000000000001,0
2023-01-06,5,21,1031,18,691,49.7,42.564166666666665,48.681250000000006,193.34,0
2023-01-07,6,20,973,18,707,52.79,44.40416666666666,44.80083333333334,87.18,0
2023-01-08,7,20,1040,18,716,66.74,44.94499999999999,40.14000000000001,78.33,1
2023-01-09,1,22,1057,18,726,75.54,47.02833333333333,42.78875,103.28,0
2023-01-10,2,22,1048,18,734,59.92,65.44375,86.50916666666666,399.37,0
2023-01-11,3,22,1070,18,742,93.0,69.86333333333334,71.36875000000002,131.41,0
2023-01-12,4,22,1051,18,728,60.59,54.409166666666664,57.45000000000001,101.91,0
2023-01-13,5,20,951,18,653,62.03,38.403333333333336,35.587500000000006,67.46000000000001,0
2023-01-14,6,20,1010,18,660,73.8,62.76125000000001,81.32916666666667,154.52,0
2023-01-15,7,21,1036,18,705,136.87,66.08166666666666,94.50166666666668,171.46,0
2023-01-16,1,22,1091,18,726,161.86,89.18874999999998,108.25708333333331,166.33,0
2023-01-17,2,21,1011,18,732,75.23,82.53875000000001,65.05416666666666,463.75,0
2023-01-18,3,20,989,18,674,30.84,46.29,31.992916666666662,50.85,0
2023-01-19,4,21,1027,18,674,32.160000000000004,34.106666666666676,29.887083333333337,42.050000000000004,0
2023-01-20,5,21,1026,18,691,43.95,44.36791666666667,33.45291666666666,68.04,0
2023-01-21,6,21,1012,18,708,54.84,37.244166666666665,35.62166666666668,63.27,0
2023-01-22,7,20,1018,18,707,39.06,40.24,38.837916666666665,83.31,0
2023-01-23,1,22,1095,18,689,73.55,44.197916666666664,43.78208333333334,108.3,0
2023-01-24,2,22,1063,19,744,80.2,42.85208333333333,41.94833333333333,89.96000000000001,0
2023-01-25,3,22,1077,18,734,39.57,48.61208333333334,35.04708333333334,53.18,0
2023-01-26,4,21,1011,18,675,86.64,42.13791666666666,52.137916666666676,99.87,0
2023-01-27,5,20,983,18,708,51.11,41.675,36.735,101.67,0
2023-01-28,6,19,935,19,717,39.85,32.89333333333333,25.507499999999997,49.660000000000004,14
2023-01-29,7,19,971,18,667,51.9,34.115,32.47291666666667,72.75,0
2023-01-30,1,20,989,19,653,70.92,43.405833333333334,40.29833333333334,102.44,0
2023-01-31,2,21,1042,19,671,78.57000000000001,74.70333333333333,56.52791666666667,155.4,0
2023-02-01,3,22,1077,19,746,95.79,105.1416666666667,61.32458333333333,201.8,2
2023-02-02,4,22,1074,19,784,80.91,91.08625,73.86916666666667,248.75,12
2023-02-03,5,24,1244,19,767,261.04,200.32958333333332,134.11375,416.67,15
2023-02-04,6,26,1237,18,983,376.1,225.2458333333333,273.7354166666667,506.64,0
2023-02-05,7,22,1020,19,776,164.81,120.20333333333336,123.78249999999997,334.98,0
2023-02-06,1,21,1037,19,712,81.27,66.33791666666669,61.76416666666666,171.45000000000002,1
2023-02-07,2,21,1062,19,739,46.14,45.11208333333334,38.52416666666667,203.44,0
2023-02-08,3,21,1009,19,714,40.52,29.892083333333336,29.357083333333332,64.53,2
2023-02-09,4,21,1017,18,717,47.68,35.02125,31.845,50.45,0
2023-02-10,5,19,898,19,647,35.38,24.795,23.396666666666665,63.620000000000005,6
2023-02-11,6,19,919,19,660,55.22,29.004166666666674,28.311666666666664,77.93,0
2023-02-12,7,19,957,18,696,64.49,29.369583333333342,31.51541666666667,327.96,0
2023-02-13,1,20,1000,19,662,61.84,37.56916666666667,30.89,91.25,0
2023-02-14,2,20,957,19,685,32.84,29.797500000000003,24.66,48.5,6
2023-02-15,3,20,959,19,695,30.75,30.773333333333337,28.133333333333336,62.54,0
2023-02-16,4,19,911,19,630,31.59,27.637083333333337,29.941250000000007,68.21000000000001,0
2023-02-17,5,19,921,19,605,27.68,35.642500000000005,33.58583333333333,67.96000000000001,0
2023-02-18,6,19,937,19,720,36.63,34.99416666666667,25.648333333333337,62.07,0
2023-02-19,7,19,922,19,688,22.12,24.994583333333328,17.253333333333334,24.29,7
2023-02-20,1,19,917,19,626,22.88,25.084999999999997,12.572083333333332,33.57,20
2023-02-21,2,20,992,18,627,27.57,27.818749999999998,24.727500000000003,41.300000000000004,0
2023-02-22,3,20,992,19,685,27.86,26.63,22.008750000000003,52.660000000000004,0
2023-02-23,4,21,1041,19,697,38.58,36.26166666666666,44.32416666666666,108.74000000000001,0
2023-02-24,5,21,1042,19,714,153.75,102.625,101.77041666666666,180.49,0
2023-02-25,6,23,1077,19,798,189.53,193.51708333333337,115.76291666666667,231.49,0
2023-02-26,7,21,1014,19,788,365.88,115.00333333333333,201.59750000000005,370.25,0
2023-02-27,1,21,1051,19,738,159.94,109.92458333333332,118.88375,202.71,0
2023-02-28,2,22,1058,19,762,96.76,89.24291666666664,80.37666666666667,155.05,0
2023-03-01,3,21,1000,19,728,61.64,48.28208333333333,51.666666666666664,316.81,0
2023-03-02,4,21,984,19,692,62.54,35.22458333333334,44.85999999999999,85.11,0
2023-03-03,5,20,948,19,703,52.74,44.317499999999995,36.69375,84.4,0
2023-03-04,6,20,971,19,710,66.85,56.07250000000001,43.14958333333334,104.85000000000001,0
2023-03-05,7,19,948,19,708,29.35,36.687916666666666,24.318750000000005,47.89,11
2023-03-06,1,20,984,19,682,104.4,40.126250000000006,30.869583333333335,128.1,14
2023-03-07,2,21,1021,19,691,94.91,55.65958333333333,45.960416666666674,118.41,3
