Date,DT,Energy,Peak_Demand,Peak_Hour,Min_Demand,RT_LMP,Avg_DA_LMP,Avg_RT_LMP,Max_5_Minute_LMP,Neg_Intervals
2023-01-01,7,32,1711,18,1074,71.85000000000001,33.45875,32.1025,85.0,5
2023-01-02,1,36,1897,18,1167,129.05,42.35041666666667,65.02833333333334,161.5,0
2023-01-03,2,39,1924,18,1259,45.53,49.532500000000006,89.31750000000001,285.16,0
2023-01-04,3,37,1885,18,1189,56.61,41.67333333333333,34.13875000000001,72.57000000000001,5
2023-01-05,4,38,1915,18,1176,62.93,41.152499999999996,36.339999999999996,93.62,0
2023-01-06,5,39,1938,18,1237,50.57,43.1475,49.36125000000001,196.22,0
2023-01-07,6,37,1820,18,1278,53.300000000000004,44.74125,45.13958333333334,88.01,0
2023-01-08,7,37,1957,18,1303,67.58,45.308749999999996,40.47500000000001,79.28,1
2023-01-09,1,40,1983,18,1331,76.59,47.45916666666667,42.94916666666666,104.66,0
2023-01-10,2,39,1939,19,1332,61.64,66.20875,87.44041666666665,402.61,0
2023-01-11,3,40,1986,18,1353,94.71000000000001,70.81708333333334,72.48833333333334,133.76,0
2023-01-12,4,40,1932,18,1325,61.730000000000004,55.3775,58.518333333333324,103.85000000000001,0
2023-01-13,5,36,1754,18,1171,63.21,39.065416666666664,36.21333333333333,68.76,0
2023-01-14,6,37,1858,18,1193,74.57000000000001,63.55166666666667,82.21666666666667,156.49,0
2023-01-15,7,39,1981,18,1311,139.07,66.94625,95.86666666666667,174.13,0
2023-01-16,1,41,2058,18,1346,163.72,90.14208333333333,109.53375000000001,168.19,0
2023-01-17,2,38,1875,18,1347,76.54,83.83,66.02125,471.24,0
2023-01-18,3,36,1830,19,1224,30.95,47.220416666666665,32.51916666666667,51.71,0
2023-01-19,4,39,1935,18,1231,32.9,34.67958333333333,30.370000000000005,42.65,0
2023-01-20,5,39,1928,18,1254,44.6,44.94666666666668,33.82958333333333,68.62,0
2023-01-21,6,38,1890,18,1296,55.480000000000004,37.5325,35.87125,64.0,0
2023-01-22,7,38,1900,18,1311,39.54,40.604583333333345,39.227916666666665,84.31,0
